"data","tipus","assistents"
2017-09-14,0,127
2017-09-19,0,108
2017-09-26,0,105
2017-09-28,0,125
2017-10-05,0,127
2017-10-10,0,133
2017-10-17,0,135
2017-10-19,0,143
2017-10-24,0,129
2017-10-25,0,91
2017-10-31,0,121
2017-11-02,0,120
2017-11-07,0,126
2017-11-14,0,141
2017-11-16,0,145
2017-11-21,0,128
2017-11-28,0,131
2017-12-05,0,125
2017-12-12,0,170
2017-12-19,0,150
2018-01-30,0,76
2018-02-01,0,96
2018-02-06,0,101
2018-02-08,0,91
2018-02-13,0,94
2018-02-15,0,113
2018-02-20,0,95
2018-02-22,0,125
2018-02-27,0,118
2018-03-01,0,115
2018-03-06,0,134
2018-03-08,0,128
2018-03-13,0,124
2018-03-20,0,115
2018-03-22,0,121
2018-04-03,0,112
2018-04-05,0,124
2018-04-10,0,119
2018-04-12,0,136
2018-04-13,0,75
2018-04-17,0,118
2018-04-19,0,130
2018-04-24,0,130
2018-05-02,0,106
2018-05-03,0,149
2018-05-08,0,149
2018-05-15,0,118
2018-05-22,0,110
2018-09-13,0,94
2018-09-18,0,106
2018-09-25,0,128
2018-09-27,0,150
2018-10-04,0,159
2018-10-11,0,146
2018-10-16,0,158
2018-10-18,0,153
2018-10-23,0,147
2018-10-25,0,144
2018-10-30,0,130
2018-10-31,0,101
2018-11-06,0,143
2018-11-13,0,151
2018-11-15,0,149
2018-11-20,0,148
2018-11-27,0,148
2018-12-04,0,145
2018-12-11,0,163
2018-12-18,0,151
2019-01-29,0,78
2019-01-31,0,81
2019-02-05,0,72
2019-02-07,0,83
2019-02-12,0,112
2019-02-14,0,100
2019-02-19,0,110
2019-02-20,0,104
2019-02-26,0,112
2019-02-28,0,94
2019-03-05,0,111
2019-03-07,0,113
2019-03-12,0,119
2019-03-14,0,117
2019-03-19,0,114
2019-03-21,0,124
2019-03-26,0,112
2019-03-28,0,117
2019-04-02,0,116
2019-04-09,0,119
2019-04-11,0,126
2019-04-24,0,106
2019-04-25,0,122
2019-04-30,0,135
2019-05-02,0,103
2019-05-07,0,135
2019-05-14,0,127
2019-05-21,0,120
