date,attendees
2017-09-14,127
2017-09-19,108
2017-09-26,105
2017-09-28,125
2017-10-05,127
2017-10-10,133
2017-10-17,135
2017-10-19,143
2017-10-24,129
2017-10-25,91
2017-10-31,121
2017-11-02,120
2017-11-07,126
2017-11-14,141
2017-11-16,145
2017-11-21,128
2017-11-28,131
2017-12-05,125
2017-12-12,170
2017-12-19,150
2018-01-30,76
2018-02-01,96
2018-02-06,101
2018-02-08,91
2018-02-13,94
2018-02-15,113
2018-02-20,95
2018-02-22,125
2018-02-27,118
2018-03-01,115
2018-03-06,134
2018-03-08,128
2018-03-13,124
2018-03-20,115
2018-03-22,121
2018-04-03,112
2018-04-05,124
2018-04-10,119
2018-04-12,136
2018-04-13,75
2018-04-17,118
2018-04-19,130
2018-04-24,130
2018-05-02,106
2018-05-03,149
2018-05-08,149
2018-05-15,118
2018-05-22,110
2018-09-13,94
2018-09-18,106
2018-09-25,128
2018-09-27,150
2018-10-04,159
2018-10-11,146
2018-10-16,158
2018-10-18,153
2018-10-23,147
2018-10-25,144
2018-10-30,130
2018-10-31,101
2018-11-06,143
2018-11-13,151
2018-11-15,149
2018-11-20,148
2018-11-27,148
2018-12-04,145
2018-12-11,163
2018-12-18,151
2019-01-29,78
2019-01-31,81
2019-02-05,72
2019-02-07,83
2019-02-12,112
2019-02-14,100
2019-02-19,110
2019-02-20,104
2019-02-26,112
2019-02-28,94
2019-03-05,111
2019-03-07,113
2019-03-12,119
2019-03-14,117
2019-03-19,114
2019-03-21,124
2019-03-26,112
2019-03-28,117
2019-04-02,116
2019-04-09,119
2019-04-11,126
2019-04-24,106
2019-04-25,122
2019-04-30,135
2019-05-02,103
2019-05-07,135
2019-05-14,127
2019-05-21,120
